algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER,SHEER,1312,1327,8530,300,14640,86022,0.8298109785868731,0.17018902141312686,0.9299403210893502,0.882342375093648,0.0007000866330666149,33473.38804220399,1.8894490035169988,2.7074939987718434,1.0,2510,9103,14,0,0,37641400,8530,42
ACTAR,ACTAR,771,931,5319,300,15233,84364,0.8194372007017211,0.1805627992982789,0.9280641101676527,0.8692977670479783,0.0007228358779897661,51987.96766309457,2.2517390486933633,3.4709112585311117,1.6487248846393079,1612,11608,10,0,0,36149800,5319,42
TFSM_DPC,TFSM_DPC,649,1112,7112,300,12832,78855,0.8372709403335236,0.16272905966647644,0.944064947063902,0.8983362924693336,0.0007531353420515981,37133.29583802025,2.0026715410573677,3.111851344076809,1.801614588855399,1941,8982,16,0,0,34409600,7112,42
DST_WOA,DST_WOA,715,1492,7031,705,14367,87164,0.835172777752283,0.16482722224771695,0.9487753616220449,0.9008814745968665,0.0006865323247078441,41414.8769734035,1.7580713980941545,4.682150476461387,1.2397076802615492,1474,8434,17,0,0,37362200,7031,42
TRAIL,TRAIL,470,929,11056,1207,11561,81788,0.858646745243801,0.14135325475619898,0.9707947085878651,0.9376069057884744,0.0007115506897591161,25407.742402315485,1.754431982633864,2.6185658984195985,1.2170959887222863,2836,4137,20,0,0,36611600,11056,42
SHEER,SHEER,1332,1345,8808,332,13907,85135,0.8366476772185353,0.16335232278146472,0.9341551075419778,0.8869169350590529,0.0007016178683725141,32346.957311534967,1.9076975476839237,2.5482894338480198,1.0,2618,8723,12,0,0,37333400,8808,43
ACTAR,ACTAR,852,959,7827,300,14146,83837,0.8312678173121653,0.16873218268783474,0.9380120819044065,0.8799576303702582,0.000717143996875993,35615.68928069503,1.8666155615178228,2.503127457199899,1.6460662065402993,2308,11397,8,0,0,36374800,7827,43
TFSM_DPC,TFSM_DPC,686,1149,7730,300,12045,78799,0.8471427302376934,0.15285726976230662,0.9422955927734668,0.9029015947881306,0.0007485971642844056,34542.82018111255,1.9723156532988357,2.8223054067895608,1.813149773796327,2207,8579,15,0,0,34582000,7730,43
DST_WOA,DST_WOA,703,1412,7041,1015,13638,87248,0.8436869613057033,0.1563130386942967,0.956391794593126,0.9159171541576389,0.0006789020557290078,41817.92359039909,1.773895753444113,4.858507314301946,1.239627767966309,1476,6714,18,0,0,37379000,7041,43
TRAIL,TRAIL,409,960,12103,988,10369,80982,0.8719592008100565,0.1280407991899435,0.9733051987594352,0.9460823380701545,0.000707674298492592,23337.35437494836,1.6949516648764769,2.391132690791297,1.2320677495645278,3261,3548,20,0,0,36515600,12103,43
SHEER,SHEER,1276,1290,8999,391,14023,85361,0.8357212310071344,0.16427876899286564,0.9403263337912473,0.886324762881565,0.0007004066787477089,31709.301033448162,1.826425158350928,2.634544579027299,1.0,2636,8564,17,0,0,37444600,8999,44
ACTAR,ACTAR,790,947,6424,300,13365,83583,0.840099063206633,0.15990093679336703,0.9389045543877638,0.8921413166543606,0.0007116966128170344,43722.29140722291,1.9970423412204235,3.191949033566406,1.6481813779942465,1825,10569,14,0,0,35829400,6424,44
TFSM_DPC,TFSM_DPC,552,1067,8892,300,11515,77533,0.8514825945081449,0.1485174054918551,0.9513617498258051,0.9108284260721005,0.0007542634556337437,29697.70580296896,1.7713675213675213,2.677011240610213,1.7922536277984793,2414,8027,16,0,0,34183400,8892,44
DST_WOA,DST_WOA,652,1383,7959,1017,13885,86818,0.8400677278905296,0.15993227210947036,0.9570701877065252,0.90693353587554,0.0006852381036584951,36654.35356200528,1.6557356451815555,4.25574611550865,1.239781717466716,1696,7795,17,0,0,37202000,7959,44
TRAIL,TRAIL,526,948,10891,1038,10466,80810,0.8704863259497587,0.12951367405024128,0.9738854770840442,0.941469671320478,0.0007103681193510947,25835.644109815443,1.7707281241391974,2.528969708021958,1.2325145001705902,2974,3755,20,0,0,36204600,10891,44
SHEER,SHEER,1297,1310,12001,300,13401,84678,0.8417416566286403,0.1582583433713597,0.945943291664913,0.8947095639145223,0.000701050190355019,23757.02024831264,1.5990334138821765,2.2933065101717722,1.0,3430,8080,15,0,0,37145400,12001,45
ACTAR,ACTAR,813,922,5320,300,15190,84918,0.821121552556584,0.17887844744341597,0.9280059660394676,0.8722446315996291,0.0007167961751071324,52427.06766917293,2.257518796992481,3.6310032521780635,1.6659161312528683,1768,13867,10,0,0,36303200,5320,45
TFSM_DPC,TFSM_DPC,617,1069,7628,300,13713,79695,0.827931488801054,0.17206851119894595,0.9412567063744658,0.8892061425481742,0.0007571880419068465,34599.895123230206,1.9278972207656004,3.1840959683415133,1.8262253341820496,2061,9642,15,0,0,34438200,7628,45
DST_WOA,DST_WOA,717,1489,8656,865,14129,87260,0.8380815952326381,0.16191840476736186,0.953549110500335,0.9082648100952065,0.0006832880615680564,33794.36229205176,1.640249537892791,4.003429220579172,1.2473096224583282,2112,7502,18,0,0,37391400,8656,45
TRAIL,TRAIL,775,923,12627,941,10762,80895,0.8669633475492923,0.13303665245070773,0.9696719090870204,0.9407967239781309,0.0007125154416562766,22216.836936722895,1.6730022966658746,2.2878361974830677,1.2443927965437098,3510,3950,20,0,0,36176800,12627,45
SHEER,SHEER,1246,1261,8003,451,14517,84647,0.8284995333561733,0.17150046664382668,0.9285327249393983,0.8743263649207791,0.000712601846169955,35051.85555416719,1.9693864800699739,2.529750450723836,1.0,2367,9693,12,0,0,36474200,8003,46
ACTAR,ACTAR,845,927,5966,300,14124,83172,0.8301832347424614,0.16981676525753864,0.9293824585795388,0.877699437246813,0.0007238337171855528,46294.334562520955,2.1138115990613477,3.0892754438450876,1.635659251535164,1974,11148,9,0,0,35229000,5966,46
TFSM_DPC,TFSM_DPC,576,1048,7743,300,12774,76717,0.833491924866718,0.16650807513328203,0.9413696573510784,0.8864369628964359,0.0007746493258628381,33032.674673899004,1.9448534159886348,2.691914243005076,1.846941807547347,2253,10069,14,0,0,32893600,7743,46
DST_WOA,DST_WOA,633,1314,7388,828,14081,86680,0.8375519150899862,0.16244808491001383,0.9565558754252813,0.9067552446879213,0.0006882335123848561,39306.442880346505,1.7332160259880889,4.477966522288396,1.243157619250954,1614,7413,15,0,0,36697000,7388,46
TRAIL,TRAIL,396,912,11158,1159,10268,79572,0.8709596340421254,0.1290403659578746,0.973724460348609,0.9425857163715252,0.0007210484398242357,24844.595805699948,1.722172432335544,2.494809402572891,1.2939512870829966,2962,3707,20,0,0,35199200,11158,46
